 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.8788542203765483 0.46934405388740214 0.41920529749131585 0.6436376824310153 0.4261673635300176 0.6416859350990185 0.3787711510457368
L23I 0.8788542203765483 1.0 0.5989961981239463 0.5784316467417288 0.5750970068364458 0.42728797700966586 0.5511743453733694 0.3092214575611347
L4E 0.46934405388740214 0.5989961981239463 1.0 0.9178720450847251 0.2859771359102486 0.41867781232192597 0.49809428833670866 0.2505974312181049
L4I 0.41920529749131585 0.5784316467417288 0.9178720450847251 1.0 0.23850552717467263 0.342371899123532 0.38021510694849536 0.1692392919669536
L5E 0.6436376824310153 0.5750970068364458 0.2859771359102486 0.23850552717467263 1.0 0.8745870608385401 0.47381605282731676 0.3252128823450871
L5I 0.4261673635300176 0.42728797700966586 0.41867781232192597 0.342371899123532 0.8745870608385401 1.0 0.4295052982469095 0.2896622935331688
L6E 0.6416859350990185 0.5511743453733694 0.49809428833670866 0.38021510694849536 0.47381605282731676 0.4295052982469095 1.0 0.8297975993200613
L6I 0.3787711510457368 0.3092214575611347 0.2505974312181049 0.1692392919669536 0.3252128823450871 0.2896622935331688 0.8297975993200613 1.0
