# Pops mean_freq amplitude sigma
0.00 69.27 5.84 10.82
1.00 71.40 4.97 9.05
2.00 75.20 31.54 5.10
3.00 75.46 8.98 5.28
4.00 71.01 9.08 7.86
5.00 73.32 4.14 7.15
6.00 71.78 5.06 -1.10
7.00 71.98 5.69 5.65
