 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.9950281560941051 0.7641964962801614 0.753094767521862 0.6189824732452452 0.5015190242398277 0.42811169294276613 0.31436238690382334
L23I 0.9950281560941051 1.0 0.7166187746492699 0.7046947886309876 0.6239332592684101 0.5040280471250873 0.43405961956040423 0.32618156265321274
L4E 0.7641964962801614 0.7166187746492699 1.0 0.9971274496955934 0.4156284493288042 0.3518081686202749 0.2594360062214194 0.12120131367965474
L4I 0.753094767521862 0.7046947886309876 0.9971274496955934 1.0 0.40761027491490204 0.34576303938767483 0.2544886547556544 0.11663663410246977
L5E 0.6189824732452452 0.6239332592684101 0.4156284493288042 0.40761027491490204 1.0 0.9846151098983421 0.4207484009971304 0.3537738463314165
L5I 0.5015190242398277 0.5040280471250873 0.3518081686202749 0.34576303938767483 0.9846151098983421 1.0 0.38358576769612557 0.3267285502710759
L6E 0.42811169294276613 0.43405961956040423 0.2594360062214194 0.2544886547556544 0.4207484009971304 0.38358576769612557 1.0 0.9822845811223319
L6I 0.31436238690382334 0.32618156265321274 0.12120131367965474 0.11663663410246977 0.3537738463314165 0.3267285502710759 0.9822845811223319 1.0
