 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.9566193335222319 0.4605054032691964 0.23729252397333628 0.8139373446508584 0.5913513292612137 0.6571102851650232 0.38534664734131274
L23I 0.9566193335222319 1.0 0.4501725108711478 0.2616430491141121 0.8052650572024131 0.5969702621538804 0.5735478329401164 0.36148902640389696
L4E 0.4605054032691964 0.4501725108711478 1.0 0.89405250817473 0.3294646009301175 0.4123605763118041 0.5815520381103487 0.39111020540228325
L4I 0.23729252397333628 0.2616430491141121 0.89405250817473 1.0 0.11727084730370096 0.19663198016389505 0.33152488408056746 0.22100834675321096
L5E 0.8139373446508584 0.8052650572024131 0.3294646009301175 0.11727084730370096 1.0 0.9122078912576103 0.6102747847919686 0.4542330894417337
L5I 0.5913513292612137 0.5969702621538804 0.4123605763118041 0.19663198016389505 0.9122078912576103 1.0 0.5547773025688225 0.474080327972454
L6E 0.6571102851650232 0.5735478329401164 0.5815520381103487 0.33152488408056746 0.6102747847919686 0.5547773025688225 1.0 0.8911298591813558
L6I 0.38534664734131274 0.36148902640389696 0.39111020540228325 0.22100834675321096 0.4542330894417337 0.474080327972454 0.8911298591813558 1.0
