# Pops mean_freq amplitude sigma
0.00 9.52 840.38 -2.35
1.00 9.07 717.63 -1.64
2.00 10.53 198.19 0.15
3.00 10.07 122.17 0.26
4.00 9.43 236.59 -2.17
5.00 10.28 118.19 2.50
6.00 10.13 263.55 -0.21
7.00 9.96 58.21 2.38
