 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.7968800141024829 0.8228217170458927 0.9752135148935916 0.9032492387828809 0.8539989233938833 0.8155352175808428 0.6695838606360356
L23I 0.7968800141024829 1.0 0.3217421536247099 0.6470554700107233 0.9692459692827569 0.9746654008235474 0.8491635782045608 0.9789763991540779
L4E 0.8228217170458927 0.3217421536247099 1.0 0.9192056707505659 0.5287324871768664 0.4551073304172665 0.54557082067983 0.15013039816189724
L4I 0.9752135148935916 0.6470554700107233 0.9192056707505659 1.0 0.788744371255479 0.7226689387229083 0.7107859982079173 0.4932632407256339
L5E 0.9032492387828809 0.9692459692827569 0.5287324871768664 0.788744371255479 1.0 0.9931684602564549 0.9267711819207683 0.9157957779452617
L5I 0.8539989233938833 0.9746654008235474 0.4551073304172665 0.7226689387229083 0.9931684602564549 1.0 0.942192205521378 0.9409145697674833
L6E 0.8155352175808428 0.8491635782045608 0.54557082067983 0.7107859982079173 0.9267711819207683 0.942192205521378 1.0 0.8156984241291981
L6I 0.6695838606360356 0.9789763991540779 0.15013039816189724 0.4932632407256339 0.9157957779452617 0.9409145697674833 0.8156984241291981 1.0
