 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.9978834735367179 0.5015731537268022 0.47498482154073507 0.7943738704121399 0.6899005092566222 0.418246608960088 0.3388807730579521
L23I 0.9978834735367179 1.0 0.4466249121962157 0.419172104923462 0.8016179042466081 0.6951009828659109 0.41568208686159525 0.3411094889864717
L4E 0.5015731537268022 0.4466249121962157 1.0 0.9991751506634593 0.2735243624765359 0.25167501888458776 0.23489765076334718 0.13105926517561142
L4I 0.47498482154073507 0.419172104923462 0.9991751506634593 1.0 0.25049997583974154 0.23201151587498225 0.22409868290247711 0.12122338838394589
L5E 0.7943738704121399 0.8016179042466081 0.2735243624765359 0.25049997583974154 1.0 0.9856485944156664 0.438550369076919 0.38427503761416454
L5I 0.6899005092566222 0.6951009828659109 0.25167501888458776 0.23201151587498225 0.9856485944156664 1.0 0.4197566257559786 0.37074674122451573
L6E 0.418246608960088 0.41568208686159525 0.23489765076334718 0.22409868290247711 0.438550369076919 0.4197566257559786 1.0 0.9930082650034474
L6I 0.3388807730579521 0.3411094889864717 0.13105926517561142 0.12122338838394589 0.38427503761416454 0.37074674122451573 0.9930082650034474 1.0
