 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.9973703827157778 0.723926648848247 0.7105166363254153 0.8155142295754148 0.7294649320526408 0.6062542503758477 0.505541424053207
L23I 0.9973703827157778 1.0 0.6800153117952876 0.6657543987341523 0.8203540852747417 0.731905997947764 0.6035538357866762 0.5085017462401791
L4E 0.723926648848247 0.6800153117952876 1.0 0.9987050422544764 0.5089703293485818 0.47370097025835717 0.41675039139713627 0.2793508738738807
L4I 0.7105166363254153 0.6657543987341523 0.9987050422544764 1.0 0.4963766208632627 0.4626460627243559 0.4076765961071792 0.2702532545426189
L5E 0.8155142295754148 0.8203540852747417 0.5089703293485818 0.4963766208632627 1.0 0.9877513101732929 0.6561764610028543 0.5913678887555913
L5I 0.7294649320526408 0.731905997947764 0.47370097025835717 0.4626460627243559 0.9877513101732929 1.0 0.6342591028687843 0.5755115125821095
L6E 0.6062542503758477 0.6035538357866762 0.41675039139713627 0.4076765961071792 0.6561764610028543 0.6342591028687843 1.0 0.9858026461106741
L6I 0.505541424053207 0.5085017462401791 0.2793508738738807 0.2702532545426189 0.5913678887555913 0.5755115125821095 0.9858026461106741 1.0
