 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.13945413987826197 -0.18110271080021217 -0.03444872512268065 0.08733208319905116 0.03780471106247 -0.046306797128209294 0.05712474493353595
L23I 0.13945413987826197 1.0 0.07231218019498228 0.29125533847391116 0.27085188627564416 0.12827353276880307 0.05844155464795889 0.02273113121529644
L4E -0.18110271080021217 0.07231218019498228 1.0 0.5680335385559161 -0.037615436112902856 0.02285595617004225 0.07465005522720931 -0.15782917304748084
L4I -0.03444872512268065 0.29125533847391116 0.5680335385559161 1.0 0.22269214788182715 0.18108907782383638 0.09375737028861156 -0.11472123770287693
L5E 0.08733208319905116 0.27085188627564416 -0.037615436112902856 0.22269214788182715 1.0 0.749853214504405 0.20314664188676795 0.16136362816955704
L5I 0.03780471106247 0.12827353276880307 0.02285595617004225 0.18108907782383638 0.749853214504405 1.0 0.1503577741231115 0.0957293783762093
L6E -0.046306797128209294 0.05844155464795889 0.07465005522720931 0.09375737028861156 0.20314664188676795 0.1503577741231115 1.0 0.41851973268791426
L6I 0.05712474493353595 0.02273113121529644 -0.15782917304748084 -0.11472123770287693 0.16136362816955704 0.0957293783762093 0.41851973268791426 1.0
