# Pops mean_freq amplitude sigma
0.00 10.35 2111.65 2.39
1.00 10.46 1774.25 -0.42
2.00 11.12 4141.15 2.46
3.00 11.21 949.17 -2.43
4.00 10.71 3987.00 2.34
5.00 10.96 76.67 0.38
6.00 10.31 656.40 -2.40
7.00 10.85 439.79 0.34
