# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.48 426.64 2.37 79.51 1302.61 37.59
1.00 10.35 238.78 2.23 79.34 556.12 37.34
2.00 10.23 75.10 -2.52 79.74 646.55 37.88
3.00 10.26 56.02 -0.26 79.86 402.91 37.90
4.00 10.58 115.60 0.33 79.66 354.04 42.31
5.00 10.41 65.55 -0.32 79.51 221.40 37.34
6.00 10.25 115.14 0.30 79.70 432.15 37.66
7.00 10.05 49.71 2.18 79.67 104.52 42.54
