# Pops mean_freq amplitude sigma
0.00 10.90 2180.95 2.35
1.00 10.91 1013.08 0.47
2.00 11.61 3219.69 2.42
3.00 11.66 603.30 -2.37
4.00 10.71 2810.28 2.28
5.00 11.32 57.98 0.49
6.00 10.72 539.46 2.26
7.00 11.10 262.12 -2.36
