# Pops mean_freq amplitude sigma
0.00 10.00 84.20 2.60
1.00 10.18 27.94 2.63
2.00 10.51 24.12 2.51
3.00 10.14 27.63 0.33
4.00 10.31 26.08 2.32
5.00 10.22 23.21 0.28
6.00 9.95 35.04 0.16
7.00 9.52 12.74 2.44
