# Pops mean_freq amplitude sigma
0.00 70.69 5.03 10.28
1.00 71.32 4.78 8.94
2.00 75.73 24.65 5.62
3.00 75.73 7.66 -0.98
4.00 71.76 8.12 7.44
5.00 73.84 4.12 7.52
6.00 72.84 4.83 6.71
7.00 73.15 5.23 6.05
