# Pops mean_freq amplitude sigma
0.00 81.14 4.09 4.74
1.00 81.15 4.01 4.83
2.00 81.28 4.04 4.56
3.00 81.34 4.02 4.49
4.00 81.30 4.01 4.89
5.00 81.23 4.00 4.89
6.00 81.31 4.02 4.68
7.00 81.37 4.00 5.15
