 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.8728000016860252 0.4522005713349662 0.4045863547109734 0.6139986880087887 0.37741995727317956 0.6314327070314502 0.3493455732601208
L23I 0.8728000016860252 1.0 0.6092961089812109 0.5889023632279604 0.5362172077183083 0.3921556729463471 0.5411363935235161 0.28031445572654146
L4E 0.4522005713349662 0.6092961089812109 1.0 0.9052971963101886 0.2729316146090711 0.4206155816879609 0.47093348201063767 0.21646960094804168
L4I 0.4045863547109734 0.5889023632279604 0.9052971963101886 1.0 0.24110763077055788 0.35245077694669125 0.3486294957987701 0.13207500644888834
L5E 0.6139986880087887 0.5362172077183083 0.2729316146090711 0.24110763077055788 1.0 0.8565313364221103 0.42333068058797557 0.26355819288098015
L5I 0.37741995727317956 0.3921556729463471 0.4206155816879609 0.35245077694669125 0.8565313364221103 1.0 0.3654969121375909 0.21169052109373016
L6E 0.6314327070314502 0.5411363935235161 0.47093348201063767 0.3486294957987701 0.42333068058797557 0.3654969121375909 1.0 0.8014874059557583
L6I 0.3493455732601208 0.28031445572654146 0.21646960094804168 0.13207500644888834 0.26355819288098015 0.21169052109373016 0.8014874059557583 1.0
