# Pops mean_freq amplitude sigma
0.00 68.31 5.99 10.95
1.00 71.23 5.03 9.40
2.00 75.79 30.65 -0.08
3.00 75.92 9.20 -0.02
4.00 71.77 8.36 7.60
5.00 73.56 4.13 6.98
6.00 72.93 4.93 6.14
7.00 73.14 5.38 5.83
