# Pops mean_freq amplitude sigma
0.00 80.90 4.11 4.62
1.00 80.81 4.01 4.79
2.00 81.00 4.04 4.45
3.00 81.07 4.02 4.47
4.00 81.19 4.01 4.65
5.00 81.19 4.01 4.66
6.00 81.05 4.02 4.53
7.00 80.98 4.00 4.92
