# Pops mean_freq amplitude sigma
0.00 10.42 116.39 0.43
1.00 10.34 45.26 0.44
2.00 10.28 36.39 0.33
3.00 9.32 22.47 0.26
4.00 10.50 28.87 0.34
5.00 10.03 16.77 2.49
6.00 10.18 41.67 2.21
7.00 10.53 14.32 0.18
