# Pops mean_freq amplitude sigma
0.00 10.71 2862.66 2.67
1.00 10.63 1254.19 -0.25
2.00 11.19 5645.33 2.55
3.00 11.30 1036.42 -0.32
4.00 10.56 3110.94 2.41
5.00 11.04 79.69 0.39
6.00 10.61 569.32 -2.71
7.00 10.86 415.17 0.32
