 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.8822361707562691 0.46714223549438333 0.40842187567051486 0.6601116295021404 0.41644663825063055 0.6776513440262313 0.3736530783600115
L23I 0.8822361707562691 1.0 0.6138499514196828 0.5846809094315244 0.5975587746164547 0.44692834715497226 0.5772553661402382 0.32391488755715436
L4E 0.46714223549438333 0.6138499514196828 1.0 0.9156673871344192 0.292288242738149 0.45537764814349785 0.5102027981832652 0.27548685937329254
L4I 0.40842187567051486 0.5846809094315244 0.9156673871344192 1.0 0.24616882150868327 0.37396133817461547 0.37688640552611885 0.18182057450969152
L5E 0.6601116295021404 0.5975587746164547 0.292288242738149 0.24616882150868327 1.0 0.8527844550699132 0.4816992188196117 0.2920226037490694
L5I 0.41644663825063055 0.44692834715497226 0.45537764814349785 0.37396133817461547 0.8527844550699132 1.0 0.41742633804356816 0.2646522994178372
L6E 0.6776513440262313 0.5772553661402382 0.5102027981832652 0.37688640552611885 0.4816992188196117 0.41742633804356816 1.0 0.817406490291756
L6I 0.3736530783600115 0.32391488755715436 0.27548685937329254 0.18182057450969152 0.2920226037490694 0.2646522994178372 0.817406490291756 1.0
