# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 9.89 184.70 -2.18 81.38 571.41 38.24
1.00 10.04 81.83 0.41 81.37 200.41 38.01
2.00 9.89 60.88 2.28 81.59 350.90 38.49
3.00 10.08 54.88 -0.43 81.68 216.74 43.64
4.00 10.05 58.61 2.25 81.50 165.25 43.67
5.00 10.14 37.59 -0.38 81.63 110.58 43.84
6.00 9.91 65.62 -0.34 81.51 240.50 38.34
7.00 9.97 30.13 2.49 81.52 57.67 44.15
