 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.5204838481185503 0.3918092127923082 0.3951283625407164 0.2741889690796399 0.20615466489238263 0.4300677562791075 0.08972963019252052
L23I 0.5204838481185503 1.0 0.006439582788414749 0.20729984143313407 0.524362985291186 0.3065393008704929 0.3402872855347441 0.26466325574473454
L4E 0.3918092127923082 0.006439582788414749 1.0 0.5681058127983349 -0.060453082231715034 0.09563998735073044 0.3507810076938703 -0.11018203233326584
L4I 0.3951283625407164 0.20729984143313407 0.5681058127983349 1.0 0.3137928615321782 0.2728045803792639 0.4439201706028649 0.13219102445378764
L5E 0.2741889690796399 0.524362985291186 -0.060453082231715034 0.3137928615321782 1.0 0.732126258139747 0.28925210767880827 0.3200789422909891
L5I 0.20615466489238263 0.3065393008704929 0.09563998735073044 0.2728045803792639 0.732126258139747 1.0 0.2070938762762518 0.18590318944585493
L6E 0.4300677562791075 0.3402872855347441 0.3507810076938703 0.4439201706028649 0.28925210767880827 0.2070938762762518 1.0 0.5299587341712905
L6I 0.08972963019252052 0.26466325574473454 -0.11018203233326584 0.13219102445378764 0.3200789422909891 0.18590318944585493 0.5299587341712905 1.0
