# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.39 1512.31 -2.23 79.73 1571.71 36.18
1.00 10.37 758.81 -2.20 79.28 737.62 35.33
2.00 10.38 189.55 0.40 79.46 634.67 43.28
3.00 10.09 82.02 0.36 79.69 379.09 36.16
4.00 10.32 367.35 0.43 80.31 478.64 36.53
5.00 10.14 201.22 0.47 79.90 303.67 43.74
6.00 10.29 312.58 0.38 79.98 523.47 36.55
7.00 10.14 69.14 2.36 80.03 152.81 43.74
