 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.17749382370564923 0.04766031396063422 0.06515493978228344 -0.053673776343031575 -0.008322905660708643 -0.024789735423531595 -0.02005226801042992
L23I 0.17749382370564923 1.0 0.3371777575906335 0.018464329196544737 -0.13881326325187499 -0.04874167499876188 0.02693284200184852 -0.047974997860674794
L4E 0.04766031396063422 0.3371777575906335 1.0 0.6077953696192011 -0.06625676023911957 -0.005194527898725327 0.21283729652893107 0.052463163431138944
L4I 0.06515493978228344 0.018464329196544737 0.6077953696192011 1.0 0.12278878672990692 0.0729226312628838 0.1631417331421917 0.047083146724262996
L5E -0.053673776343031575 -0.13881326325187499 -0.06625676023911957 0.12278878672990692 1.0 0.4088505649870696 0.038775140157429874 0.03899850666448666
L5I -0.008322905660708643 -0.04874167499876188 -0.005194527898725327 0.0729226312628838 0.4088505649870696 1.0 0.010801967944383708 0.003501802302863346
L6E -0.024789735423531595 0.02693284200184852 0.21283729652893107 0.1631417331421917 0.038775140157429874 0.010801967944383708 1.0 0.657002010013573
L6I -0.02005226801042992 -0.047974997860674794 0.052463163431138944 0.047083146724262996 0.03899850666448666 0.003501802302863346 0.657002010013573 1.0
