 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.9609853551318086 0.45813700469494195 0.19953359134907162 0.8396346180730997 0.6456947421678676 0.670538681430062 0.3750657504547807
L23I 0.9609853551318086 1.0 0.45168329247029515 0.23241733433662462 0.8370144632948329 0.6553486926620284 0.5845227469964898 0.3414062877540366
L4E 0.45813700469494195 0.45168329247029515 1.0 0.8738099391049414 0.37595981275883894 0.47515259009694544 0.5773846401681029 0.387808745982227
L4I 0.19953359134907162 0.23241733433662462 0.8738099391049414 1.0 0.13589381422835015 0.23804271509048405 0.28535665671845317 0.19653625501012947
L5E 0.8396346180730997 0.8370144632948329 0.37595981275883894 0.13589381422835015 1.0 0.9187497933820585 0.62897592747713 0.4331790217063272
L5I 0.6456947421678676 0.6553486926620284 0.47515259009694544 0.23804271509048405 0.9187497933820585 1.0 0.5919142689862049 0.4685236212403073
L6E 0.670538681430062 0.5845227469964898 0.5773846401681029 0.28535665671845317 0.62897592747713 0.5919142689862049 1.0 0.8851942131659964
L6I 0.3750657504547807 0.3414062877540366 0.387808745982227 0.19653625501012947 0.4331790217063272 0.4685236212403073 0.8851942131659964 1.0
