# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.52 2082.00 -2.34 80.23 1823.12 35.22
1.00 10.38 963.34 -2.37 80.36 853.05 34.76
2.00 10.29 400.86 0.40 79.87 730.48 44.01
3.00 10.09 281.52 0.37 80.38 437.84 35.09
4.00 10.37 483.94 0.31 81.04 556.50 35.91
5.00 10.35 304.76 0.34 79.81 352.72 34.40
6.00 10.26 546.16 -2.27 80.01 633.26 35.64
7.00 10.17 149.52 0.33 79.70 191.12 43.60
