# Pops mean_freq amplitude sigma
0.00 10.39 2453.96 2.55
1.00 10.54 919.54 -2.77
2.00 11.06 4776.46 2.44
3.00 10.97 864.98 -2.47
4.00 10.16 1891.43 0.33
5.00 10.65 64.29 0.50
6.00 10.60 463.33 2.55
7.00 10.64 258.55 -0.45
