 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.8555142631482875 0.43972820567205306 0.3958738974492537 0.6100191247108331 0.3853546725814585 0.6331049914402379 0.3933549524805329
L23I 0.8555142631482875 1.0 0.5904311478596084 0.5784687085243676 0.5174432819699359 0.3795121355669277 0.5324657078334276 0.3267635023532179
L4E 0.43972820567205306 0.5904311478596084 1.0 0.9049698519022581 0.25959222690534545 0.39924166151626744 0.47733075786058954 0.2500554879277707
L4I 0.3958738974492537 0.5784687085243676 0.9049698519022581 1.0 0.2226985631917969 0.32717790032593985 0.35026458653075165 0.16135228042912383
L5E 0.6100191247108331 0.5174432819699359 0.25959222690534545 0.2226985631917969 1.0 0.8507037436877343 0.43891527417376625 0.2909397382823709
L5I 0.3853546725814585 0.3795121355669277 0.39924166151626744 0.32717790032593985 0.8507037436877343 1.0 0.38872686579200805 0.2531911076261261
L6E 0.6331049914402379 0.5324657078334276 0.47733075786058954 0.35026458653075165 0.43891527417376625 0.38872686579200805 1.0 0.8270085015352573
L6I 0.3933549524805329 0.3267635023532179 0.2500554879277707 0.16135228042912383 0.2909397382823709 0.2531911076261261 0.8270085015352573 1.0
