 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.6191616825627891 0.1021341954379151 0.5913665460410991 0.6209187559232835 0.22650666068586406 0.20004074317710627 0.435036398414516
L23I 0.6191616825627891 1.0 -0.18369939164077428 0.39457366842321173 0.5989635613669169 0.20096354342745812 -0.07583883808099925 0.28269706676921685
L4E 0.1021341954379151 -0.18369939164077428 1.0 0.6464547503194286 -0.09314814903913206 0.05584869783039816 0.47113158717266074 0.036169369172044115
L4I 0.5913665460410991 0.39457366842321173 0.6464547503194286 1.0 0.35442289378229486 0.18702556072742954 0.32329657713626675 0.262945425575869
L5E 0.6209187559232835 0.5989635613669169 -0.09314814903913206 0.35442289378229486 1.0 0.5759113721496357 0.08921003051073043 0.3456789276515269
L5I 0.22650666068586406 0.20096354342745812 0.05584869783039816 0.18702556072742954 0.5759113721496357 1.0 0.07263622658001069 0.09870147803327041
L6E 0.20004074317710627 -0.07583883808099925 0.47113158717266074 0.32329657713626675 0.08921003051073043 0.07263622658001069 1.0 0.48211434168929784
L6I 0.435036398414516 0.28269706676921685 0.036169369172044115 0.262945425575869 0.3456789276515269 0.09870147803327041 0.48211434168929784 1.0
