# Pops mean_freq amplitude sigma
0.00 10.50 87.61 2.46
1.00 10.32 36.75 0.28
2.00 10.29 37.83 0.37
3.00 10.08 28.01 0.20
4.00 10.25 34.83 0.47
5.00 10.30 24.67 2.29
6.00 9.70 43.51 0.54
7.00 10.55 19.03 2.36
