# Pops mean_freq amplitude sigma
0.00 10.22 67.72 0.18
1.00 10.15 27.49 0.25
2.00 10.29 23.93 0.05
3.00 9.99 36.28 0.42
4.00 10.22 25.57 0.27
5.00 9.96 22.78 2.33
6.00 10.37 31.76 2.49
7.00 10.28 20.17 2.15
