# Pops mean_freq amplitude sigma
0.00 68.45 5.77 10.98
1.00 70.95 4.85 9.81
2.00 75.39 29.75 5.63
3.00 75.75 8.93 -0.19
4.00 71.31 8.79 7.29
5.00 73.05 4.14 6.96
6.00 72.47 5.06 6.23
7.00 72.32 5.61 5.67
