# Pops mean_freq amplitude sigma
0.00 10.51 2360.15 2.71
1.00 10.57 1066.68 -2.67
2.00 11.32 4101.73 2.78
3.00 11.41 758.36 -2.82
4.00 10.40 2838.40 2.60
5.00 11.01 56.02 0.35
6.00 10.44 458.19 0.30
7.00 10.92 318.47 -2.72
