# Pops mean_freq amplitude sigma
0.00 81.14 4.11 4.31
1.00 81.17 4.01 4.34
2.00 81.11 4.05 4.26
3.00 81.17 4.02 4.26
4.00 81.15 4.01 4.43
5.00 81.09 4.00 4.64
6.00 81.11 4.02 4.41
7.00 81.27 4.00 4.79
