# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 9.87 947.15 -2.27 78.95 1511.44 42.51
1.00 9.85 481.67 0.33 78.66 691.25 42.58
2.00 9.77 147.28 0.37 78.97 663.45 42.31
3.00 9.81 86.04 -2.18 79.15 412.45 36.73
4.00 9.98 197.33 -2.25 79.40 418.62 36.42
5.00 10.12 102.87 -2.25 79.14 262.50 36.17
6.00 10.04 205.02 0.32 79.17 483.13 36.60
7.00 9.86 58.65 -0.27 79.30 125.47 43.04
