# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.18 135.84 0.39 66.29 115.26 22.06
1.00 10.16 60.14 2.13 69.48 57.55 38.68
2.00 10.39 37.87 2.37 51.85 75.84 70.90
3.00 9.87 39.28 2.19 70.82 52.64 57.19
4.00 10.37 43.50 2.30 69.23 77.33 41.73
5.00 10.21 29.42 2.31 72.29 56.81 43.98
6.00 10.02 52.22 2.17 -1485.32 124.14 1481.98
7.00 10.26 29.82 2.22 -984.00 54.28 1019.50
