 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.8844935610352842 0.40457835102408163 0.3517281329815199 0.725432756224689 0.5825648312716523 0.5004241920469663 0.4689369640814377
L23I 0.8844935610352842 1.0 0.3718668422158173 0.3271687582297635 0.5412789530289952 0.4385600966410002 0.4330109431219474 0.36837809066614563
L4E 0.40457835102408163 0.3718668422158173 1.0 0.9302148855856635 0.219441758552178 0.23996565147979804 0.7711415759024861 0.5717294915571433
L4I 0.3517281329815199 0.3271687582297635 0.9302148855856635 1.0 0.18690458628767606 0.20903304806480252 0.6795456257476739 0.5251744187522361
L5E 0.725432756224689 0.5412789530289952 0.219441758552178 0.18690458628767606 1.0 0.9158034962103779 0.33743541969443563 0.37817409381803097
L5I 0.5825648312716523 0.4385600966410002 0.23996565147979804 0.20903304806480252 0.9158034962103779 1.0 0.33766006555790223 0.36252250197696745
L6E 0.5004241920469663 0.4330109431219474 0.7711415759024861 0.6795456257476739 0.33743541969443563 0.33766006555790223 1.0 0.856128118109268
L6I 0.4689369640814377 0.36837809066614563 0.5717294915571433 0.5251744187522361 0.37817409381803097 0.36252250197696745 0.856128118109268 1.0
