# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.08 2723.02 0.39 80.32 1890.10 44.35
1.00 10.02 1455.57 0.39 80.08 871.48 34.19
2.00 10.26 397.94 0.30 79.36 875.49 43.66
3.00 10.34 365.28 0.33 79.61 542.16 35.37
4.00 10.21 605.78 -2.17 80.67 531.62 35.64
5.00 10.13 344.75 0.42 79.11 347.72 43.99
6.00 10.10 656.70 -0.36 79.97 684.67 35.32
7.00 9.96 217.00 -2.22 79.84 205.46 44.48
