# Pops mean_freq amplitude sigma
0.00 81.25 4.09 4.76
1.00 81.27 4.01 4.81
2.00 81.37 4.03 4.61
3.00 81.50 4.01 4.68
4.00 81.62 4.01 4.76
5.00 81.57 4.00 4.84
6.00 81.28 4.02 4.68
7.00 81.14 4.00 5.05
