# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.26 82.49 2.48 81.10 221.41 36.59
1.00 10.33 36.46 0.28 81.84 76.39 36.79
2.00 10.35 30.74 0.28 81.85 147.85 36.99
3.00 9.68 36.09 2.16 82.45 96.26 37.30
4.00 10.10 33.75 2.37 81.74 80.23 36.28
5.00 10.15 32.10 2.41 82.26 54.44 35.61
6.00 9.93 43.03 2.34 82.10 109.58 37.01
7.00 9.92 26.07 2.36 82.49 35.39 36.52
