 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.7866603859967173 0.9213022011004106 0.9794222727053888 0.9047788182428913 0.851765310939315 0.8603500532932895 0.695464714675722
L23I 0.7866603859967173 1.0 0.5103684869657408 0.6872524787969647 0.9649305399026007 0.9757274424349086 0.9133298370047817 0.9537353860032146
L4E 0.9213022011004106 0.5103684869657408 1.0 0.9649450492341174 0.6995205298852578 0.6221792809386525 0.6887689608611577 0.43179053579180887
L4I 0.9794222727053888 0.6872524787969647 0.9649450492341174 1.0 0.8329449660335682 0.7663883377297929 0.8001253393887799 0.6172708076419947
L5E 0.9047788182428913 0.9649305399026007 0.6995205298852578 0.8329449660335682 1.0 0.986549495460357 0.9616225679311493 0.9082932095606306
L5I 0.851765310939315 0.9757274424349086 0.6221792809386525 0.7663883377297929 0.986549495460357 1.0 0.9627337672992812 0.9279495246246672
L6E 0.8603500532932895 0.9133298370047817 0.6887689608611577 0.8001253393887799 0.9616225679311493 0.9627337672992812 1.0 0.8878274611367584
L6I 0.695464714675722 0.9537353860032146 0.43179053579180887 0.6172708076419947 0.9082932095606306 0.9279495246246672 0.8878274611367584 1.0
