# Pops mean_freq amplitude sigma
0.00 80.77 4.08 5.11
1.00 80.49 4.01 5.51
2.00 81.04 4.03 4.72
3.00 81.11 4.01 4.68
4.00 81.01 4.01 5.07
5.00 80.98 4.00 5.13
6.00 81.04 4.02 4.92
7.00 81.29 4.00 5.40
