 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.4242207127822611 0.08881979295380807 0.37529547615712255 0.37398788271681577 0.1668602462054199 0.1706983675975066 0.13365917370397032
L23I 0.4242207127822611 1.0 0.0050941823003623305 0.3345272954748583 0.3218881091487486 0.1203948082902244 0.041234274782130556 0.05234645077369228
L4E 0.08881979295380807 0.0050941823003623305 1.0 0.501688318642085 -0.009995632099029001 0.07556663383689118 0.12405012626285665 -0.06340728685140641
L4I 0.37529547615712255 0.3345272954748583 0.501688318642085 1.0 0.2693341834960242 0.18495461312541778 0.1360301111172659 -0.0011863048835077017
L5E 0.37398788271681577 0.3218881091487486 -0.009995632099029001 0.2693341834960242 1.0 0.6763202589252973 0.09880953080539495 0.10826837829281825
L5I 0.1668602462054199 0.1203948082902244 0.07556663383689118 0.18495461312541778 0.6763202589252973 1.0 0.06904772962090491 0.050611921440221794
L6E 0.1706983675975066 0.041234274782130556 0.12405012626285665 0.1360301111172659 0.09880953080539495 0.06904772962090491 1.0 0.28967684807547645
L6I 0.13365917370397032 0.05234645077369228 -0.06340728685140641 -0.0011863048835077017 0.10826837829281825 0.050611921440221794 0.28967684807547645 1.0
