# Pops mean_freq amplitude sigma
0.00 10.20 105.66 0.40
1.00 10.08 35.64 0.32
2.00 10.06 42.26 2.14
3.00 10.18 22.08 2.32
4.00 10.15 34.30 0.46
5.00 9.94 20.07 2.23
6.00 9.82 43.24 0.39
7.00 10.00 21.74 0.50
