 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.9948972480782615 0.7681149345145387 0.7586398792672446 0.619928208680845 0.501120987136344 0.41996697501994656 0.3082967563381868
L23I 0.9948972480782615 1.0 0.7212547990570533 0.7111121047832902 0.6215739646656996 0.49950944073608916 0.4243733162324059 0.31834637082661676
L4E 0.7681149345145387 0.7212547990570533 1.0 0.9967800182188924 0.43947830151780715 0.37938200296882113 0.2727548273525805 0.13858960329801143
L4I 0.7586398792672446 0.7111121047832902 0.9967800182188924 1.0 0.43136830317701563 0.3728477818733869 0.2695239443257837 0.13543658682367976
L5E 0.619928208680845 0.6215739646656996 0.43947830151780715 0.43136830317701563 1.0 0.9838867098090386 0.36405559334469834 0.29342016964154793
L5I 0.501120987136344 0.49950944073608916 0.37938200296882113 0.3728477818733869 0.9838867098090386 1.0 0.32003718950996485 0.25819591037000583
L6E 0.41996697501994656 0.4243733162324059 0.2727548273525805 0.2695239443257837 0.36405559334469834 0.32003718950996485 1.0 0.982424356270479
L6I 0.3082967563381868 0.31834637082661676 0.13858960329801143 0.13543658682367976 0.29342016964154793 0.25819591037000583 0.982424356270479 1.0
