 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.2898006264709648 0.2104326994655599 0.4259733352607836 0.47907104124645816 0.23804614260235668 0.49244699219093563 0.2729298892575761
L23I 0.2898006264709648 1.0 -0.1796887147084928 0.36214266474031687 0.7497223372028383 0.41570691456328784 0.09145055844922263 0.540214416900723
L4E 0.2104326994655599 -0.1796887147084928 1.0 0.616021119225532 -0.03727879078295441 0.06233140007558803 0.4154563889697245 -0.09676203766797706
L4I 0.4259733352607836 0.36214266474031687 0.616021119225532 1.0 0.4538080003300043 0.2835107186579112 0.44654078186008817 0.2931370323575472
L5E 0.47907104124645816 0.7497223372028383 -0.03727879078295441 0.4538080003300043 1.0 0.6237304019035004 0.29263184339919096 0.567743703609213
L5I 0.23804614260235668 0.41570691456328784 0.06233140007558803 0.2835107186579112 0.6237304019035004 1.0 0.11626801398628556 0.2720766211924273
L6E 0.49244699219093563 0.09145055844922263 0.4154563889697245 0.44654078186008817 0.29263184339919096 0.11626801398628556 1.0 0.3079937239922759
L6I 0.2729298892575761 0.540214416900723 -0.09676203766797706 0.2931370323575472 0.567743703609213 0.2720766211924273 0.3079937239922759 1.0
