# Pops mean_freq_alpha amplitude sigma mean_freq_gamma amplitude sigma
0.00 10.06 82.27 0.40 74.22 127.66 29.73
1.00 10.16 29.83 2.35 76.67 46.24 48.12
2.00 10.23 37.57 2.14 78.10 77.62 32.46
3.00 10.00 33.08 2.14 79.68 53.84 45.81
4.00 10.18 34.53 2.29 77.48 59.95 48.25
5.00 10.03 27.99 0.32 81.97 40.54 52.85
6.00 10.18 36.82 2.35 80.48 63.00 32.30
7.00 10.07 32.52 2.08 80.61 25.38 47.66
