 L23E L23I L4E L4I L5E L5I L6E L6I
L23E 1.0 0.8904427272437119 0.4279464975532391 0.3951729755735796 0.627803894742916 0.3260289611308057 0.6232445057439134 0.31448568546582845
L23I 0.8904427272437119 1.0 0.550175107734266 0.5483683707939878 0.5799046427006024 0.3543987636593741 0.5399544983682755 0.2633670491005554
L4E 0.4279464975532391 0.550175107734266 1.0 0.9082018767125712 0.30261441801707384 0.4358984489103933 0.45617436815031576 0.1939237361744259
L4I 0.3951729755735796 0.5483683707939878 0.9082018767125712 1.0 0.24498280957930982 0.35192951897235475 0.3085847625481999 0.0816382189507762
L5E 0.627803894742916 0.5799046427006024 0.30261441801707384 0.24498280957930982 1.0 0.8338350787286561 0.4544320522795235 0.2863207401434175
L5I 0.3260289611308057 0.3543987636593741 0.4358984489103933 0.35192951897235475 0.8338350787286561 1.0 0.3606268726380261 0.24585909318994573
L6E 0.6232445057439134 0.5399544983682755 0.45617436815031576 0.3085847625481999 0.4544320522795235 0.3606268726380261 1.0 0.8211529303138139
L6I 0.31448568546582845 0.2633670491005554 0.1939237361744259 0.0816382189507762 0.2863207401434175 0.24585909318994573 0.8211529303138139 1.0
